First.Author,PYear,EYear,Location,Lontitude,Latitude,Country,Genotype,Cultivar,Nitrogen,Nmass,CO2,N,HD.SR,HD.MeanSR,HD.MaxT35,HD.MaxT26,HD.MaxT3,HD.MaxT5,HD.MeanT,HD.MinT,HD.MaxT,HD.RangeT,HD.MeanVPD,HD.PRE,PM.SR,PM.MeanSR,PM.MaxT35,PM.MaxT26,PM.MaxT3,PM.MaxT5,PM.MeanT,PM.MinT,PM.MaxT,PM.RangeT,PM.MeanVPD,PM.PRE
Liu HJ,2008,2006,Jiangdu,119.5,32.4,China,Indica,Yangdao6,HN,25,AMB,3,1416.8281,18.642475,3,31,1,0,28.36618421,25.13539474,31.59697368,6.461578947,2.997368421,444.71,494.1654,15.44266875,0,4,0,0,23.15234375,19.781875,26.5228125,6.7409375,2.21875,74.02
Liu HJ,2008,2006,Jiangdu,119.5,32.4,China,Indica,Yangdao6,HN,25,FACE,3,1416.8281,18.642475,3,31,1,0,28.36618421,25.13539474,31.59697368,6.461578947,2.997368421,444.71,494.1654,15.44266875,0,4,0,0,23.15234375,19.781875,26.5228125,6.7409375,2.21875,74.02
Zhu CW,2015,2012,Jiangdu,119.5,32.4,China,Indica,Yangdao6,MN,22.5,AMB,3,1347.2354,17.72678158,3,29,0,0,28.04657895,24.82605263,31.26710526,6.441052632,2.848684211,468.22,516.9215,16.15379688,0,0,0,0,21.51953125,17.53,25.5090625,7.9790625,1.8375,91.33
Zhu CW,2015,2014,Jiangdu,119.5,32.4,China,Indica,Yangdao6,MN,22.5,AMB,3,1104.5268,14.53324737,0,11,0,0,25.75164474,22.91210526,28.59118421,5.679078947,2.798684211,578.54,410.3471,12.82334688,0,0,0,0,22.4371875,19.4084375,25.4659375,6.0575,2.215625,87.92
Zhu CW,2015,2012,Jiangdu,119.5,32.4,China,Indica,Yangdao6,MN,22.5,FACE,3,1347.2354,17.72678158,3,29,0,0,28.04657895,24.82605263,31.26710526,6.441052632,2.848684211,468.22,516.9215,16.15379688,0,0,0,0,21.51953125,17.53,25.5090625,7.9790625,1.8375,91.33
Zhu CW,2015,2014,Jiangdu,119.5,32.4,China,Indica,Yangdao6,MN,22.5,FACE,3,1104.5268,14.53324737,0,11,0,0,25.75164474,22.91210526,28.59118421,5.679078947,2.798684211,578.54,410.3471,12.82334688,0,0,0,0,22.4371875,19.4084375,25.4659375,6.0575,2.215625,87.92
Wang WL,2018,2015,Jiangdu,119.5,32.4,China,Japonica,Nanjing9108,MN,22.5,AMB,3,1103.5464,15.76494857,0,11,0,0,26.00921429,22.95585714,29.06257143,6.106714286,2.778571429,665.03,952.6147,15.36475323,0,0,0,0,21.01725806,17.03387097,25.00064516,7.966774194,1.932258065,139.42
Wang WL,2018,2015,Jiangdu,119.5,32.4,China,Japonica,Nanjing9108,MN,22.5,FACE,3,1041.5534,15.54557313,0,11,0,0,26.05783582,23.0338806,29.08179104,6.047910448,2.788059701,662.32,988.3478,15.68806032,0,0,0,0,21.4052381,17.41746032,25.39301587,7.975555556,1.988888889,138.69
Wang WL,2018,2016,Jiangdu,119.5,32.4,China,Japonica,Nanjing9108,MN,22.5,AMB,3,1237.848,17.68354286,8,28,6,4,28.14707143,24.98771429,31.30642857,6.318714286,3.072857143,675.96,696.31263,11.23084887,0,0,0,0,21.69177419,18.63145161,24.75209677,6.120645161,2.020967742,550.92
Wang WL,2018,2016,Jiangdu,119.5,32.4,China,Japonica,Nanjing9108,MN,22.5,FACE,3,1180.239,17.61550746,8,28,6,4,28.29537313,25.15119403,31.43955224,6.288358209,3.114925373,674.88,750.29763,11.90948619,0,0,0,0,22.05095238,18.91634921,25.18555556,6.269206349,2.055555556,533.27
